Casos autóctones do DSEI Yanomami - 2019,,,,,,,,,,
Polo Base,Faixas Etárias,,,,,,,,,
,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80 a 100,
Marauiá,1.541,783,350,233,148,79,28,28,7,3.197
Marari,1.165,570,174,93,58,35,25,7,6,2.133
Waikás,54,119,566,491,273,99,19,3,3,1627
Toototobi,518,321,133,48,57,31,18,4,2,1132
Balawau,433,272,100,52,52,36,19,16,1,981
Médio Padauiri,582,237,36,21,24,12,4,3,,919
Aratha-u,402,263,86,46,22,7,13,4,,843
Parafuri,436,196,61,25,14,4,,1,,737
Auaris,220,249,88,57,30,29,16,3,,692
Uraricoera,244,165,128,59,50,27,2,,,675
Palimiú,307,230,55,32,19,12,9,6,1,671
Novo-Demini,247,165,55,30,29,6,18,8,7,565
Alto Mucajai,273,162,45,27,22,6,1,5,2,543
Paapiu,174,96,52,64,42,21,3,,,452
Ericó,227,99,18,9,10,5,3,1,,372
Inambú,87,87,39,36,21,7,5,3,1,286
Cachoeira do Araçá,104,94,36,11,12,6,1,2,3,269
Missão Catrimani,118,80,34,8,6,2,1,,,249
Sauba,147,67,14,6,3,4,1,1,,243
Maloca Paapiu,83,73,38,8,11,3,4,2,1,223
Alto Padauiri,112,44,9,3,2,1,1,1,,173
Alto Catrimani,79,51,9,5,5,3,1,1,,154
Maturacá,30,19,16,24,22,14,6,2,1,134
Baixo Catrimani,88,23,6,3,8,2,,,,130
Aracá,45,40,14,5,8,6,3,3,,124
Maia,19,25,15,24,11,3,6,,1,104
Xitei,46,27,17,8,3,2,,,,103
Surucucu,9,13,22,5,8,,,,,57
Baixo Mucajai,33,12,3,1,,1,,,,50
Ajuricaba,8,13,9,8,1,2,,,1,42
Apiaú,29,7,2,,1,,,,,39
Hakoma,9,7,8,,,,,,,24
Demini,8,4,2,4,2,,1,,,21
Waputha,7,4,5,1,,1,,,,18
Ajarani,2,3,2,,1,1,,,,9
Homoxi,,,1,,,,,,,1
Haxiu,,,1,,,,,,,1
Total,7.886,4620,2249,1447,975,467,208,104,37,17993
Fonte: Sivep-Malária/SVS/MS. Excluídas Lâminas de Verificação de Cura.  Casos por Local Provável de Infecção -LPI. Dados atualizados em: 30/03/2021. ,,,,,,,,,,
