Casos autóctones do DSEI Yanomami - 2018,,,,,,,,,,
Polo Base,Faixas Etárias,,,,,,,,,
,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80 a 100,
Marauiá,1.072,523,203,111,66,37,26,9,2,2.049
Marari,598,280,72,31,19,10,8,1,,1019
Missão Catrimani,418,268,113,58,21,14,10,5,,907
Médio Padauiri,493,132,20,23,9,6,3,2,,688
Balawau,291,131,68,42,30,19,16,7,,604
Toototobi,273,169,70,20,23,18,4,4,,581
Alto Mucajai,258,123,40,29,15,10,1,2,,478
Novo-Demini,170,100,42,26,24,12,22,1,2,399
Palimiú,140,94,27,18,15,6,5,,,305
Auaris,109,97,38,14,16,7,6,,,287
Baixo Mucajai,152,64,12,3,1,1,,,,233
Baixo Catrimani,173,42,8,8,1,1,,,,233
Inambú,53,65,23,23,12,8,4,1,1,190
Parafuri,113,30,16,5,4,1,,,,169
Alto Padauiri,100,49,6,7,2,1,,1,,166
Sauba,83,47,13,7,7,4,2,1,,164
Paapiu,48,48,22,15,12,3,3,,,151
Aratha-u,80,35,19,7,5,2,3,,,151
Apiaú,100,13,14,3,3,,1,2,,136
Cachoeira do Araçá,40,49,13,10,7,5,3,5,,132
Uraricoera,24,14,34,33,16,3,1,,,125
Ericó,63,38,10,7,2,2,,,,122
Waikás,3,11,41,38,16,11,1,,,121
Maia,19,18,15,33,8,4,4,5,,106
Ajuricaba,32,17,20,11,2,2,4,,,88
Aracá,37,24,8,5,5,3,1,2,,85
Maturacá,11,7,11,13,18,9,3,2,,74
Xitei,22,16,12,5,2,2,1,,,60
Maloca Paapiu,12,2,8,7,2,6,1,,,38
Ajarani,11,8,5,1,2,1,2,,,30
Demini,7,5,8,2,,,1,3,,26
Haxiu,1,,4,,,,,,,5
Waputha,1,2,1,,,,,,,4
Surucucu,,,1,1,,,,,,2
Total,5.007,2521,1017,616,365,208,136,53,5,9928
Fonte: Sivep-Malária/SVS/MS. Excluídas Lâminas de Verificação de Cura.  Casos por Local Provável de Infecção -LPI. Dados atualizados em: 30/03/2021. ,,,,,,,,,,
