Casos autóctones do DSEI Yanomami - 2020,,,,,,,,,,
Polo Base,Faixas Etárias,,,,,,,,,
,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80 a 100,
Marauiá,1.254,665,343,191,102,39,24,14,6,2.638
Auaris,1.001,772,292,154,79,61,30,11,2,2.402
Aratha-u,838,519,228,99,57,46,46,19,1,1853
Palimiú,859,534,187,108,81,18,34,11,3,1835
Marari,1.024,391,143,68,30,12,17,2,,1.687
Waikás,49,106,527,363,211,93,25,2,,1376
Uraricoera,458,299,170,67,37,15,9,1,5,1061
Toototobi,503,296,104,26,29,12,7,3,1,981
Alto Mucajai,413,309,129,50,31,19,5,6,3,965
Parafuri,473,229,124,58,38,19,8,10,3,962
Balawau,384,195,79,45,39,18,10,4,1,775
Missão Catrimani,302,201,105,38,15,12,6,3,,682
Novo-Demini,311,203,96,26,20,6,9,7,2,680
Paapiu,217,168,92,42,34,22,7,1,1,584
Maloca Paapiu,228,164,88,27,28,11,7,6,,559
Ericó,234,154,48,17,14,15,3,1,,486
Médio Padauiri,277,97,22,20,21,5,6,,,448
Sauba,146,96,30,12,11,5,4,,,304
Baixo Mucajai,166,83,23,5,2,4,,1,1,285
Surucucu,72,74,38,22,13,8,4,2,,233
Alto Catrimani,110,48,14,4,8,3,2,,,189
Cachoeira do Araçá,65,63,24,4,12,1,4,2,3,178
Inambú,36,30,14,16,8,2,,3,,109
Alto Padauiri,58,31,9,5,3,1,,,,107
Apiaú,70,28,3,1,2,,1,,,105
Maturacá,10,20,13,13,15,11,1,3,,86
Ajuricaba,32,21,11,11,3,1,1,1,,81
Baixo Catrimani,42,9,3,2,5,1,3,,,65
Maia,6,9,4,13,4,3,5,2,1,47
Haxiu,6,7,5,4,3,,,,,25
Waputha,7,3,8,2,2,1,,,,23
Aracá,6,12,2,,1,1,,,,22
Homoxi,2,6,6,2,3,1,,,,20
Xitei,,3,5,3,1,,,,,12
Ajarani,2,3,1,,2,1,,,,9
Hakoma,2,2,1,,,,,,,5
Demini,1,1,,1,,1,,,,4
Total,9.664,5851,2991,1519,964,468,278,115,33,21883
Fonte: Sivep-Malária/SVS/MS. Excluídas Lâminas de Verificação de Cura.  Casos por Local Provável de Infecção -LPI. Dados atualizados em: 30/03/2021. ,,,,,,,,,,
