Casos autóctones do DSEI Yanomami - 2017,,,,,,,,,,
Polo Base,Faixas Etárias,,,,,,,,,
,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80 a 100,
Marauiá,1.573,774,298,154,100,44,21,20,3,2.987
Marari,688,390,103,47,28,33,9,4,1,1303
Missão Catrimani,398,223,89,48,16,11,7,5,1,798
Médio Padauiri,364,128,15,7,8,4,2,1,,529
Parafuri,218,110,33,15,4,4,1,2,,387
Toototobi,135,120,38,21,11,7,8,,,340
Aracá,96,50,30,14,10,8,2,5,3,218
Balawau,132,45,13,5,2,3,2,,,202
Cachoeira do Araçá,67,63,13,7,3,3,2,2,1,161
Novo-Demini,83,28,12,11,2,4,4,3,,147
Aratha-u,61,41,20,7,5,4,2,4,,144
Alto Padauiri,68,40,3,10,3,2,,1,,127
Maia,25,18,12,23,11,2,5,1,1,98
Baixo Catrimani,58,21,4,5,,1,,,,89
Ajuricaba,29,23,12,9,3,,2,,,78
Alto Mucajai,22,21,7,3,1,,2,1,,57
Auaris,12,16,6,9,3,2,,,,48
Ajarani,25,11,2,,4,5,,,,47
Maturacá,6,2,8,6,5,2,3,,,32
Demini,10,9,3,4,,2,2,,,30
Inambú,3,5,7,5,4,1,1,,,26
Waikás,2,1,2,5,1,,,,,11
Xitei,2,5,,1,,,2,,,10
Uraricoera,1,1,3,3,,2,,,,10
Sauba,2,4,1,1,1,,,,,9
Baixo Mucajai,6,1,,,,,,,,7
Hakoma,1,4,1,,,,,,,6
Apiaú,4,,1,,,1,,,,6
Alto Catrimani,2,2,,,,,1,,,5
Ericó,3,1,,,,,,,,4
Surucucu,,1,,1,,,,,,2
Maloca Paapiu,,,1,,,,,,,1
Total,4.096,2158,737,421,225,145,78,49,10,7919
Fonte: Sivep-Malária/SVS/MS. Excluídas Lâminas de Verificação de Cura.  Casos por Local Provável de Infecção -LPI. Dados atualizados em: 30/03/2021. ,,,,,,,,,,
